Series Name,Series Code,Level,Level2,Country Name,Country Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013]
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Guinea,,Boke,GN.BK,..,..,..,52,..,..,..,..,58.9,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Guinea,,Kindia,GN.KD,..,..,..,64.1,..,..,..,..,62.5,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Guinea,,Faranah,GN.FA,..,..,..,53,..,..,..,..,64.8,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Guinea,,Mamou,GN.MM,..,..,..,50.1,..,..,..,..,60.8,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Guinea,,Conakry,GN.CK,..,..,..,26.3,..,..,..,..,27.4,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Guinea,,Kankan,GN.KA,..,..,..,58.7,..,..,..,..,48.7,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Guinea,,Labe,GN.LA,..,..,..,59.8,..,..,..,..,65,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Guinea,,NZerekore,GN.NZ,..,..,..,64.3,..,..,..,..,66.9,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Mozambique,,Cabo Delgado,MZ.CD,..,..,..,..,37.4,..,..,..,..,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Mozambique,,Inhambane,MZ.IN,..,..,..,..,57.94,..,..,..,..,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Mozambique,,Maputo,MZ.MP,..,..,..,..,67.45,..,..,..,..,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Mozambique,,Nampula,MZ.NM,..,..,..,..,54.67,..,..,..,..,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Mozambique,,Sofala,MZ.SO,..,..,..,..,58.02,..,..,..,..,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Mozambique,,Zambezia,MZ.ZA,..,..,..,..,70.53,..,..,..,..,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Mozambique,,Gaza,MZ.GA,..,..,..,..,62.48,..,..,..,..,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Mozambique,,Manica,MZ.MN,..,..,..,..,55.08,..,..,..,..,..
