country,cy,facility_id,admin1,admin1_name,ruralurban,publicprivate,gps_lat,gps_lon,map_id,admin2,admin3,admin2_name,admin3_name,admin4_name
KENYA,KEN_2018,10,30,Baringo,Rural,Public,0.52068,35.77216,KEN_2018_10,,,,,
KENYA,KEN_2018,100,36,Bomet,Rural,Public,-0.58515,35.20758,KEN_2018_100,,,,,
KENYA,KEN_2018,1000,3,Kilifi,Urban,Public,-3.22659,40.12508,KEN_2018_1000,,,,,
KENYA,KEN_2018,1001,20,Kirinyaga,Rural,Public,-0.49325,37.2407,KEN_2018_1001,,,,,
KENYA,KEN_2018,1002,20,Kirinyaga,Urban,"Private, for profit",-0.73486,37.32539,KEN_2018_1002,,,,,
KENYA,KEN_2018,1003,20,Kirinyaga,Urban,"Private, for profit",-0.68437,37.35421,KEN_2018_1003,,,,,
KENYA,KEN_2018,1004,20,Kirinyaga,Rural,"Faith based, non profit",-0.50759,37.32476,KEN_2018_1004,,,,,
KENYA,KEN_2018,1005,20,Kirinyaga,Rural,"Faith based, non profit",-0.4946,37.39956,KEN_2018_1005,,,,,
KENYA,KEN_2018,1006,20,Kirinyaga,Rural,"Faith based, non profit",-0.52168,37.37007,KEN_2018_1006,,,,,
KENYA,KEN_2018,1007,20,Kirinyaga,Urban,"Faith based, non profit",-0.50301,37.27919,KEN_2018_1007,,,,,
KENYA,KEN_2018,1008,20,Kirinyaga,Rural,"Faith based, non profit",-0.54088,37.43521,KEN_2018_1008,,,,,
KENYA,KEN_2018,1009,20,Kirinyaga,Rural,"Private, for profit",-0.61037,37.27138,KEN_2018_1009,,,,,
KENYA,KEN_2018,101,36,Bomet,Rural,Public,-0.56732,35.2273,KEN_2018_101,,,,,
KENYA,KEN_2018,1010,20,Kirinyaga,Rural,"Faith based, non profit",-0.51865,37.20551,KEN_2018_1010,,,,,
KENYA,KEN_2018,1011,20,Kirinyaga,Urban,"Faith based, non profit",-0.49781,37.27924,KEN_2018_1011,,,,,
KENYA,KEN_2018,1012,20,Kirinyaga,Rural,"Faith based, non profit",-0.56714,37.32611,KEN_2018_1012,,,,,
KENYA,KEN_2018,1013,20,Kirinyaga,Rural,"Faith based, non profit",-0.65859,37.21913,KEN_2018_1013,,,,,
KENYA,KEN_2018,1014,20,Kirinyaga,Rural,Public,-0.41424,37.31372,KEN_2018_1014,,,,,
KENYA,KEN_2018,1015,20,Kirinyaga,Rural,Public,-0.44411,37.41087,KEN_2018_1015,,,,,
KENYA,KEN_2018,1016,20,Kirinyaga,Rural,Public,-0.45464,37.24642,KEN_2018_1016,,,,,
KENYA,KEN_2018,1017,20,Kirinyaga,Rural,Public,-0.57085,37.30211,KEN_2018_1017,,,,,
KENYA,KEN_2018,1018,20,Kirinyaga,Rural,Public,-0.66413,37.38978,KEN_2018_1018,,,,,
KENYA,KEN_2018,1019,20,Kirinyaga,Rural,Public,-0.60663,37.46119,KEN_2018_1019,,,,,
KENYA,KEN_2018,102,36,Bomet,Rural,Public,-0.53619,35.36201,KEN_2018_102,,,,,
KENYA,KEN_2018,1020,20,Kirinyaga,Rural,Public,-0.66558,37.29465,KEN_2018_1020,,,,,
KENYA,KEN_2018,1021,20,Kirinyaga,Rural,Public,-0.57083,37.35647,KEN_2018_1021,,,,,
KENYA,KEN_2018,1022,20,Kirinyaga,Urban,Public,-0.73409,37.33631,KEN_2018_1022,,,,,
KENYA,KEN_2018,1023,20,Kirinyaga,Rural,Public,-0.57396,37.16601,KEN_2018_1023,,,,,
KENYA,KEN_2018,1024,20,Kirinyaga,Rural,Public,-0.63549,37.24516,KEN_2018_1024,,,,,
KENYA,KEN_2018,1025,20,Kirinyaga,Rural,Public,-0.54119,37.20727,KEN_2018_1025,,,,,
