
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="theta_mle1",="theta_mle2",="theta_mle3",="treat1",="treat2",="treat3",="diag1",="diag2",="diag3"

="Doctor",="0.543***",="0.730***",="0.654***",="0.103***",="0.124***",="0.124***",="0.157***",="0.203***",="0.192***"
="",="(0.042)",="(0.027)",="(0.029)",="(0.007)",="(0.005)",="(0.005)",="(0.008)",="(0.006)",="(0.006)"

="Nurse",="0.243***",="0.367***",="0.291***",="0.0463***",="0.0700***",="0.0637***",="0.0872***",="0.134***",="0.121***"
="",="(0.038)",="(0.023)",="(0.025)",="(0.005)",="(0.004)",="(0.004)",="(0.007)",="(0.005)",="(0.006)"

="Provider age",="-0.00363***",="-0.00626***",="-0.00616***",="-0.000216",="-0.000827***",="-0.000737***",="-0.000105",="-0.000536***",="-0.000497***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="Hospital",="",="0.328***",="0.309***",="",="0.0616***",="0.0604***",="",="0.0857***",="0.0804***"
="",="",="(0.025)",="(0.025)",="",="(0.005)",="(0.005)",="",="(0.005)",="(0.005)"

="Health Center",="",="0.0652***",="0.0755***",="",="0.0169***",="0.0221***",="",="0.0267***",="0.0296***"
="",="",="(0.019)",="(0.020)",="",="(0.004)",="(0.004)",="",="(0.004)",="(0.004)"

="Urban",="",="",="-0.0468**",="",="",="-0.0147***",="",="",="-0.00422"
="",="",="",="(0.020)",="",="",="(0.003)",="",="",="(0.004)"

="Private",="",="",="-0.0107",="",="",="-0.0276***",="",="",="-0.0233***"
="",="",="",="(0.019)",="",="",="(0.004)",="",="",="(0.004)"

="Country fixed effects",="No",="Yes",="Yes",="No",="Yes",="Yes",="No",="Yes",="Yes"
="Facility fixed effects",="YES",="No",="No",="YES",="No",="No",="YES",="No",="No"
="Observations",="16613",="16613",="15166",="101873",="101873",="93277",="107938",="107938",="98016"
="R2",="0.829",="0.273",="0.277",="0.184",="0.088",="0.082",="0.249",="0.118",="0.111"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
