
="",="Knowledge Score",="",="",="Treats Condition Correctly",="",="",="Diagnose Condition Correctly",="",=""
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="",="",="",="",="",="",="",="",=""

="Doctor",="0.974***",="0.795***",="0.654***",="0.221***",="0.192***",="0.124***",="0.319***",="0.283***",="0.192***"
="",="(0.021)",="(0.024)",="(0.029)",="(0.004)",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.006)"

="Nurse",="0.470***",="0.397***",="0.291***",="0.147***",="0.128***",="0.0637***",="0.220***",="0.198***",="0.121***"
="",="(0.021)",="(0.022)",="(0.025)",="(0.004)",="(0.004)",="(0.004)",="(0.005)",="(0.005)",="(0.006)"

="Provider age",="-0.00882***",="-0.00893***",="-0.00616***",="-0.00166***",="-0.00151***",="-0.000737***",="-0.00172***",="-0.00164***",="-0.000497***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="Hospital",="",="0.391***",="0.309***",="",="0.0288***",="0.0604***",="",="0.0376***",="0.0804***"
="",="",="(0.026)",="(0.025)",="",="(0.005)",="(0.005)",="",="(0.006)",="(0.005)"

="Health Center",="",="0.162***",="0.0755***",="",="-0.00494",="0.0221***",="",="-0.0134***",="0.0296***"
="",="",="(0.018)",="(0.020)",="",="(0.004)",="(0.004)",="",="(0.004)",="(0.004)"

="Urban",="",="-0.156***",="-0.0468**",="",="-0.0231***",="-0.0147***",="",="-0.0220***",="-0.00422"
="",="",="(0.021)",="(0.020)",="",="(0.004)",="(0.003)",="",="(0.005)",="(0.004)"

="Private facility",="",="0.265***",="-0.0107",="",="0.0371***",="-0.0276***",="",="0.0378***",="-0.0233***"
="",="",="(0.021)",="(0.019)",="",="(0.004)",="(0.004)",="",="(0.005)",="(0.004)"

="Country fixed effects",="No",="No",="Yes",="No",="No",="Yes",="No",="No",="Yes"
="Observations",="16613",="15166",="15166",="101873",="93277",="93277",="107938",="98016",="98016"
="R2",="0.124",="0.130",="0.277",="0.037",="0.032",="0.082",="0.073",="0.066",="0.111"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
